ID	Sentence	Score
19	J'aime les canards, mais pas les cochons.	6.0
254	J'adore le caviar, un type intéressant de produits de la mer.	6.67
117	J'adore les huîtres, mais pas la dinde.	6.08
35	J'aime les moineaux, mais pas les oiseaux.	2.83
137	J'aime les hamsters, un type intéressant de perrouquet.	1.17
383	J'aime le caviar, et aussi le poulet.	6.09
103	J'adore les crabes, mais pas les produits de la mer.	3.08
424	J'aime les merles plus que les chiens.	6.17
430	J'aime les moineaux plus que les hamsters.	6.33
389	J'aime le caviar, et aussi la dinde.	6.42
166	J'aime les moineaux, un type intéressant d' oiseau.	6.92
138	J'aime les oiseaux, un type intéressant de hamster.	1.25
9	J'aime les cochons, mais pas les perrouquets.	4.58
275	J'aime les canards, et aussi les chats.	6.5
13	J'aime les canards, mais pas les chats.	6.45
351	J'aime le saumon, et aussi les produits de la mer.	5.08
264	J'aime les perrouquets, et aussi les oiseaux.	2.33
237	J'adore le veau, un type intéressant de crabes.	1.17
346	J'aime les buissons, et aussi les pins.	6.33
28	J'aime les hamsters, mais pas les merles.	5.83
390	J'aime la dinde, et aussi le caviar.	6.58
212	J'adore les pins, un type intéressant d' animal.	1.0
396	J'aime les oiseaux plus que les perrouquets.	2.18
391	J'aime le caviar, et aussi le boeuf.	6.0
431	J'aime les hamsters plus que les moineaux.	6.42
416	J'aime les merles plus que les chats.	5.67
309	J'aime les arbres, et aussi la pelouse.	5.33
218	J'adore le saumon, un type intéressant de poulet.	1.42
136	J'aime les perrouquets, un type intéressant de hamster.	1.42
370	J'aime la dinde, et aussi les crabes.	6.0
358	J'aime la dinde, et aussi le saumon.	6.25
481	J'aime le poulet plus que le saumon.	6.17
170	J'aime les moineaux, un type intéressant de cochon.	1.0
67	J'adore les sapins, mais pas la pelouse.	5.67
387	J'aime le caviar, et aussi le veau.	5.83
200	J'adore les sapins, un type intéressant d' arbre.	6.58
205	J'adore les buissons, un type intéressant de sapin.	1.42
198	J'adore les sapins, un type intéressant de pelouse.	1.25
521	J'aime la dinde plus que le caviar.	6.42
356	J'aime les produits de la mer, et aussi le veau.	5.92
68	J'adore la pelouse, mais pas les sapins.	5.08
400	J'aime les oiseaux plus que les hamsters.	6.0
155	J'aime les chats, un type intéressant de merle.	1.25
72	J'adore les animaux, mais pas les sapins.	3.58
115	J'adore les huîtres, mais pas le veau.	5.42
311	J'aime les animaux, et aussi les chênes.	5.42
243	J'adore le poulet, un type intéressant de huîtres.	1.0
432	J'aime les moineaux plus que les cochons.	6.0
89	J'adore le saumon, mais pas les produits de la mer.	4.25
132	J'aime les chats, un type intéressant de perrouquet.	1.17
411	J'aime les hamsters plus que les canards.	5.67
225	J'adore les produits de la mer, un type intéressant de veau.	1.0
251	J'adore le boeuf, un type intéressant de huîtres.	1.08
190	J'adore les bouleaux, un type intéressant d' arbre.	6.45
333	J'aime les sapins, et aussi les animaux.	5.0
504	J'aime les huîtres plus que le poulet.	6.58
485	J'aime le saumon plus que le veau.	6.0
159	J'aime les hamsters, un type intéressant de merle.	1.08
392	J'aime le boeuf, et aussi le caviar.	5.75
471	J'aime la pelouse plus que les pins.	5.83
2	J'aime les perrouquets, mais pas les oiseaux.	2.33
229	J'adore le saumon, un type intéressant de boeuf.	1.0
105	J'adore les crabes, mais pas le veau.	5.17
314	J'aime les buissons, et aussi les chênes.	5.83
291	J'aime les merles, et aussi les cochons.	5.33
154	J'aime les merles, un type intéressant de chat.	1.17
99	J'adore le boeuf, mais pas le saumon.	6.42
466	J'aime les sapins plus que les buissons.	5.58
86	J'adore les arbustes, mais pas les pins.	5.08
394	J'aime les chats plus que les perrouquets.	5.67
104	J'adore les produits de la mer, mais pas les crabes.	5.25
217	J'adore les arbustes, un type intéressant de pin.	1.75
153	J'aime les chiens, un type intéressant de canard.	1.0
15	J'aime les canards, mais pas les oiseaux.	3.67
445	J'aime les buissons plus que les chênes.	5.83
308	J'aime les arbres, et aussi les chênes.	3.5
32	J'aime les chiens, mais pas les merles.	4.82
493	J'aime les produits de la mer plus que le boeuf.	6.17
27	J'aime les merles, mais pas les hamsters.	6.08
460	J'aime les sapins plus que la pelouse.	5.5
324	J'aime les animaux, et aussi les bouleaux.	4.58
327	J'aime les bouleaux, et aussi les arbustes.	5.67
56	J'adore les arbres, mais pas les arbustes.	6.08
