ID	Sentence	Labels
5155	I like ham , but not fish .	1
2560	I like restaurants , and clerks too .	1
3711	I like jewelry more than skirts .	1
2232	I like seafood , and veal too .	1
2376	I like pets , and jellyfish too .	1
4481	I like scientists more than geneticists .	0
3104	I do not like seafood , I prefer salmon .	0
997	I like enduros , an interesting type of airplane .	0
3197	I do not like documentaries , I prefer videogames .	1
4811	I like blackbirds , but not hamsters .	1
1570	He trusts rumors , an interesting type of touch .	0
371	I like bracelets , and more specifically shoes .	0
3729	I like thrillers , except essays .	0
4877	I like glasses , but not shirts .	1
3243	I do not like rings , I prefer glasses .	1
3545	I like huskies more than parrots .	1
4565	He likes emotions , except logic .	0
3843	I like furniture more than tables .	0
4896	I like socks , but not jewelry .	1
4244	I like dogs , except jellyfish .	0
5229	I like oysters , but not chicken .	1
2090	I like Merlot , and beer too .	1
2120	I like sprite , and Zinfandel too .	1
395	I like cats , except beagles .	0
3971	I like blues more than sports .	1
4535	He trusts rumors , except his touch .	0
64	I use PVC , and more specifically wood .	0
4820	I like birds , but not sparrows .	1
3495	I do not like scientists , I prefer geneticists .	0
3807	I use leather more than vinyl .	1
4395	I like films more than essays .	1
5707	I like bulldogs , except parrots .	0
5353	I like Kawasakis , except ships .	0
1613	He likes calculations , an interesting type of fear .	0
1113	I use plastic , an interesting type of leather .	0
5643	I like bulldogs , and more specifically cats .	0
5693	I like blackbirds , and more specifically pigs .	0
373	I like beagles , except cats .	0
1787	I like cats , and bobtails too .	1
2941	I do not like paintings , I prefer tables .	1
554	He likes logic , and more specifically sadness .	0
3721	I like oaks more than animals .	1
2991	I do not like Chianti , I prefer coca-cola .	1
1453	I like jewelry , an interesting type of bracelet .	0
3207	I like salmon , except beef .	0
4372	He likes sadness more than logic .	1
5279	I like movies , but not comedies .	1
59	I use cotton , and more specifically vinyl .	0
5797	I like glasses , except shirts .	0
3972	I like sports more than blues .	1
3663	I like ships more than Kawasakis .	1
2562	I like clerks , and schools too .	1
780	I like parquet , except chairs .	0
1493	I like scarfs , an interesting type of ring .	0
3318	He does not trust reconstructions , he prefers his hearing .	1
4156	I like movies more than documentaries .	0
321	I like thrillers , and more specifically textbooks .	0
5042	I like motorcycles , except Kawasakis .	0
1867	I like Harley-Davidson , and trains too .	1
3509	I do not like waiters , I prefer astronomers .	1
3668	I like Kawasakis more than trains .	1
4541	He trusts reconstructions , except his touch .	0
2814	I do not like socks , I prefer pets .	1
1060	I like trees , an interesting type of grass .	0
4697	I met waiters , except biologists .	0
3863	I like cutlery more than beds .	1
5119	I like music , but not jewelry .	1
5775	I like clothes , and more specifically trousers .	1
2607	I met biologists , and caretakers too .	1
3565	I like bulldogs more than cats .	1
4604	I like books , except music .	0
2061	I like wardrobes , and furniture too .	0
718	I like animals , except pines .	0
4776	I like beagles , but not dogs .	0
3005	I do not like Zinfandel , I prefer water .	1
409	I like pets , and more specifically cats .	1
4121	I like boardgames more than thrillers .	1
79	I like chairs , and more specifically paintings .	0
4314	He trusts his touch more than guesses .	1
1553	He trusts reconstructions , an interesting type of sight .	0
2460	I like broccoli , except bacon .	0
17	I like trees , and more specifically pines .	1
4038	I like lard more than fish .	1
564	I like books , and more specifically films .	0
1529	I like jellyfish , an interesting type of rabbit .	0
1942	I like jewelry , and skirts too .	1
1256	I like boardgames , an interesting type of jazz .	0
5382	I like bears , but not hamsters .	1
1289	I like rock , except jewelry .	0
2069	I like beds , and cutlery too .	1
3242	I do not like scarfs , I prefer rings .	1
3123	I do not like crabs , I prefer beef .	1
499	He trusts rumors , and more specifically his taste .	0
1308	I like pork , an interesting type of apple .	0
5636	I like dogs , and more specifically bobtails .	1
4966	I use plastic , but not wood .	1
3858	I like wardrobes more than wallpaper .	1
4215	I like giraffes more than cats .	1
260	I like carrots , and more specifically bacon .	0
1569	He trusts his touch , an interesting type of rumor .	0
4605	I like textbooks , except films .	0
1284	I like blues , an interesting type of food .	0
5608	I met scientists , but not physicists .	1
4018	I like prosciutto more than fish .	1
4860	I like ships , but not Kawasakis .	1
1358	I like beef , an interesting type of salmon .	0
3039	I do not like music , I prefer techno .	0
4390	I like essays more than music .	1
2020	I use cotton , and vinyl too .	1
2495	He likes love , and calculations too .	1
3871	I like parquet more than beds .	1
3279	I do not like rabbits , I prefer whales .	1
3468	I do not like factories , I prefer professors .	1
574	I like books , and more specifically essays .	1
1803	I like parrots , and bulldogs too .	1
5704	I like pigs , and more specifically sparrows .	0
1158	I like furniture , an interesting type of parquet .	0
1696	I like waiters , an interesting type of worker .	1
580	I like paintings , and more specifically essays .	0
303	I like oysters , and more specifically beef .	0
314	I like beef , and more specifically caviar .	0
2368	I like pets , and cats too .	0
1531	I like whales , an interesting type of rabbit .	0
2555	I like factories , and clerks too .	1
1535	I like pets , an interesting type of hamster .	0
5205	I like chicken , but not salmon .	1
2014	I use leather , and nylon too .	1
4034	I like bacon more than apples .	1
2811	I do not like glasses , I prefer trousers .	1
5388	I like bicycles , except Kawasakis .	0
298	I like seafood , and more specifically oysters .	1
1105	I use polyester , an interesting type of cotton .	0
4455	I like factories more than professors .	1
5691	I like blackbirds , and more specifically hamsters .	0
2328	I like glasses , and bracelets too .	1
4550	He trusts his taste , except reconstructions .	0
1108	I use polyester , an interesting type of glass .	0
2794	I do not like shirts , I prefer jewelry .	1
4785	I like cats , but not parrots .	1
4887	I like jewelry , but not trousers .	1
799	I like wardrobes , except cutlery .	0
1868	I like trains , and Harley-Davidson too .	1
5008	I use leather , but not PVC .	1
1645	I like textbooks , an interesting type of painting .	0
43	I use wood , and more specifically nylon .	0
3918	I like Zinfandel more than sprite .	1
1532	I like hamsters , an interesting type of giraffe .	0
831	I like parrots , except dogs .	0
2144	I like food , and jazz too .	1
787	I like tables , except furniture .	0
5673	I like pigs , and more specifically parrots .	0
3173	I do not like westerns , I prefer boardgames .	1
4410	I like handbooks more than music .	1
4940	I like grass , but not firs .	1
5413	He trusts his hearing , but not reconstructions .	1
4257	I like whales , except dogs .	0
4204	I like rings more than handbags .	1
5814	I like grass , and more specifically oaks .	0
4946	I like firs , but not bushes .	1
4343	He likes calculations more than joy .	1
5355	I like dogs , but not giraffes .	1
4131	I like textbooks more than westerns .	1
5584	I met geneticists , but not clerks .	1
2410	I like whales , and hamsters too .	1
3278	I do not like jellyfish , I prefer rabbits .	1
1051	I like skirts , an interesting type of glass .	0
157	I like beer , and more specifically Chianti .	0
1206	I like Chardonnay , an interesting type of wine .	1
4264	I like hamsters more than jellyfish .	1
1649	I like music , an interesting type of essay .	0
1854	I like hamsters , and sparrows too .	1
2968	I do not like Merlot , I prefer wine .	0
3070	I do not like pork , I prefer carrots .	1
4349	He likes emotions more than fear .	0
1830	I like cats , and ducks too .	1
1197	I like wine , an interesting type of water .	0
3851	I like videogames , except westerns .	0
3008	I do not like sprite , I prefer Zinfandel .	1
1582	He trusts his senses , an interesting type of taste .	0
3574	I like rabbits more than bulldogs .	1
817	I like paintings , except beds .	0
4657	I like offices , except clerks .	0
3608	I like blackbirds more than cats .	1
756	I use leather , except vinyl .	0
5560	I like professors , but not factories .	1
3494	I do not like geneticists , I prefer scientists .	0
4070	I like beef more than salmon .	1
2703	I do not like parrots , I prefer birds .	0
5007	I use PVC , but not leather .	1
2696	I do not like hamsters , I prefer beagles .	1
738	I use wood , except nylon .	0
3518	I do not like scientists , I prefer physicists .	0
2678	I do not like parrots , I prefer bobtails .	1
2130	I like music , and boardgames too .	1
793	I like wallpaper , except tables .	0
3347	He does not like emotions , he prefers wisdom .	1
4236	I like dogs more than bears .	1
5123	I like music , but not jazz .	1
704	I like trees , except firs .	1
1718	I like professors , an interesting type of restaurant .	0
278	I like seafood , and more specifically veal .	0
2841	I do not like trees , I prefer animals .	1
