ID	Sentence	Labels
3040	I do not like techno , I prefer boardgames .	1
438	I like jellyfish , and more specifically rabbits .	0
3218	I do not like necklaces , I prefer jewelry .	0
2934	I do not like parquet , I prefer chairs .	1
1269	I like techno , an interesting type of boardgame .	0
3116	I do not like chicken , I prefer crabs .	1
4503	I like waiters more than physicists .	1
256	I like broccoli , and more specifically bacon .	0
3868	I like beds more than wallpaper .	1
2337	I like necklaces , and scarfs too .	1
2111	I like Chianti , and beer too .	1
1586	He trusts reconstructions , an interesting type of taste .	0
3522	I do not like physicists , I prefer caretakers .	1
4650	I like clerks , except restaurants .	0
1910	I like clothes , and jewelry too .	1
1464	I like blues , except food .	0
5609	I met physicists , but not waiters .	1
2698	I do not like parrots , I prefer beagles .	1
2582	I like caretakers , and restaurants too .	1
2541	I like cartoons , and novels too .	1
3256	I do not like jellyfish , I prefer cats .	1
1432	I like comedies , an interesting type of videogame .	0
1106	I use cotton , an interesting type of polyester .	0
2845	I do not like oaks , I prefer shrubs .	1
2271	I like thrillers , and movies too .	0
346	I like comedies , and more specifically boardgames .	0
3813	I use PVC more than cotton .	1
4241	I like dogs more than whales .	1
2359	I like rings , and scarfs too .	1
1885	I like enduros , and motorcycles too .	0
353	I like movies , and more specifically documentaries .	1
5585	I met clerks , but not geneticists .	1
5822	I like bushes , and more specifically oaks .	0
5265	I like movies , but not videogames .	1
2087	I like Merlot , and sprite too .	1
1329	I like broccoli , an interesting type of bacon .	0
559	I like textbooks , and more specifically books .	0
279	I like salmon , and more specifically turkey .	0
5671	I like birds , and more specifically hamsters .	0
4489	I like clerks more than astronomers .	1
4145	I like pets , except cats .	1
1728	I met scientists , an interesting type of clerk .	0
40	I use plastic , and more specifically leather .	0
956	I like sparrows , an interesting type of hamster .	0
4150	I like pets , except giraffes .	0
199	I like boardgames , and more specifically jazz .	0
5027	I like cutlery , but not tables .	1
176	I like skirts , except jewelry .	0
3885	I like wine more than beer .	1
896	I like rabbits , an interesting type of bobtail .	0
