ID	Sentence	Labels
5407	Si fida dell' udito , ma non le dicerie .	1
322	Amo i sussidiari , e più specificamente i thriller .	0
2162	Apprezzo i giochi da tavolo , ed anche il blues .	1
377	Amo le collane , e più specificamente i gioielli .	0
540	Posso capire le emozioni , e più specificamente l' amore .	1
4708	Ho incontrato gli scienziati , eccetto i genetisti .	1
2068	Apprezzo il parquet , ed anche i guardaroba .	1
4483	Amo i camerieri più dei genetisti .	1
2255	Amo le ostriche , ed anche il tacchino .	1
5516	Amo i manuali , ma non la musica .	1
772	Apprezzo i mobili , eccetto le posate .	0
3739	Amo le betulle più degli animali .	1
13	Amo i vestiti , eccetto i pantaloni .	1
1529	Amo le meduse , un tipo interessante di coniglio .	0
5178	Adoro le carote , ma non il prosciutto .	1
3687	Amo gli animali domestici più dei pantaloni .	1
3809	Uso il PVC più del legno .	1
312	Adoro il tacchino , e più specificamente il caviale .	0
674	Ho incontrato gli scienziati , e più specificamente i genetisti .	1
1864	Amo le Harley-Davidson , ed anche le biciclette .	1
4479	Amo gli impiegati più dei genetisti .	1
4900	Amo le calze , ma non gli orecchini .	1
462	Adoro l' erba , eccetto le querce .	0
4044	Amo il lardo più delle mele .	1
3	Amo gli abeti , e più specificamente gli alberi .	0
3204	Non amo i gioielli , preferisco le borsette .	1
4106	Amo gli anelli , eccetto le sciarpe .	0
317	Amo i saggi , e più specificamente i thriller .	0
250	Adoro le carote , e più specificamente il prosciutto .	0
1389	Adoro il caviale , un tipo interessante di prodotti del mare .	1
4198	Amo gli orecchini più delle sciarpe .	1
757	Uso il PVC , eccetto il legno .	0
3134	Non amo il manzo , preferisco le ostriche .	1
4978	Uso il nylon , ma non la plastica .	0
768	Apprezzo le sedie , eccetto le posate .	0
4514	Si fida della vista , eccetto che dei notiziari .	0
4598	Posso capire la tristezza , eccetto i calcoli .	0
1104	Uso la plastica , un tipo interessante di legno .	0
4109	Amo gli occhiali , eccetto gli anelli .	0
2322	Amo i gioielli , ed anche i braccialetti .	0
1427	Amo i film , un tipo interessante di comedie .	0
5209	Adoro il salmone , ma non il vitello .	1
3189	Non amo i documentari , preferisco i saggi .	1
1412	Amo i videogiochi , un tipo interessante di thriller .	0
3573	Amo i bulldog più dei conigli .	1
741	Uso il nylon , eccetto il cotone .	0
949	Amo i maiali , un tipo interessante di merlo .	0
225	Apprezzo il blues , e più specificamente i gioielli .	0
5568	Amo i professori , ma non gli uffici .	1
5659	Amo i bassotti , e più specificamente i pappagalli .	0
83	Apprezzo la carta da parati , e più specificamente le sedie .	0
1455	Amo i braccialetti , un tipo interessante di sciarpa .	0
4037	Amo le carote più del bacon .	1
2615	Ho incontrato i genetisti , ed anche gli scienziati .	0
197	Apprezzo la musica , e più specificamente il jazz .	1
5467	Posso capire l' amore , ma non la logica .	1
923	Amo i pappagalli , un tipo interessante di criceto .	0
4395	Amo il cinema più dei saggi .	1
221	Apprezzo il blues , e più specificamente i giochi da tavolo .	0
4307	Si fida del tatto più che dei sensi .	0
401	Amo le sciarpe , e più specificamente gli anelli .	0
4031	Amo il maiale più del bacon .	0
5008	Uso il cuoio , ma non il PVC .	1
2801	Non amo gli orecchini , preferisco le camicie .	1
2906	Non amo il vinile , preferisco il cotone .	1
2859	Non amo l' erba , preferisco gli abeti .	1
466	Si fida dei sensi , e più specificamente delle ricostruzioni .	0
5661	Amo i bassotti , e più specificamente i conigli .	0
4513	Si fida dei sensi , eccetto che delle dicerie .	0
2129	Apprezzo i giochi da tavolo , ed anche il rock .	1
4667	Amo i camerieri , eccetto gli uffici .	0
2672	Non amo i gatti , preferisco i bobtail .	1
2222	Adoro il prosciutto cotto , eccetto le carote .	0
3642	Amo le Suzuki più delle navi .	1
3609	Amo i gatti più dei merli .	1
245	Adoro il prosciutto , e più specificamente i broccoli .	0
1229	Apprezzo l' acqua , un tipo interessante di Primitivo .	0
2064	Apprezzo i dipinti , ed anche i guardaroba .	1
1688	Amo gli impiegati , un tipo interessante di scuola .	0
859	Apprezzo il Chianti , eccetto la birra .	0
5635	Amo i bobtail , e più specificamente i cani .	0
4650	Amo gli impiegati , eccetto i ristoranti .	0
2217	Amo il lardo , ed anche le mele .	1
1716	Amo i professori , un tipo interessante di lavoratore .	1
2375	Amo le meduse , ed anche i gatti .	1
3909	Apprezzo la birra più del Chianti .	1
5522	Amo i manuali , ma non i cartoni animati .	1
2515	Amo i libri , ed anche il cinema .	1
1096	Adoro i pini , un tipo interessante di cespuglio .	0
4227	Amo i cani , eccetto le giraffe .	0
2331	Amo le scarpe , ed anche i braccialetti .	1
4545	Si fida delle dicerie , eccetto che del gusto .	0
3864	Apprezzo i letti più dei mobili .	0
1953	Amo gli animali , ed anche le querce .	1
4219	Amo i gatti più degli orsi .	1
97	Apprezzo il parquet , e più specificamente i tavoli .	0
55	Uso il legno , e più specificamente il vinile .	0
1986	Amo gli animali , ed anche i pini .	1
3389	Non amo i sussidiari , preferisco la musica .	1
4064	Amo il vitello più del salmone .	1
5575	Ho incontrato i biologi , ma non i camerieri .	1
2300	Amo le commedie , ed anche i sussidiari .	1
2126	Apprezzo la musica , ed anche il rock .	0
1260	Apprezzo il jazz , un tipo interessante di collana .	0
4006	Amo il maiale più del pesce .	1
2146	Apprezzo i gioielli , ed anche il jazz .	1
819	Apprezzo i letti , eccetto la carta da parati .	0
386	Amo le borsette , e più specificamente gli orecchini .	0
1820	Amo gli uccelli , ed anche i gatti .	1
3013	Non amo gli sport , preferisco il rock .	1
3837	Apprezzo i mobili più del parquet .	1
1152	Apprezzo i mobili , un tipo interessante di dipinto .	0
1760	Ho incontrato i fisici , un tipo interessante di scienziato .	1
4076	Amo i granchi più del vitello .	1
4124	Amo i videogiochi più dei thriller .	1
4366	Posso capire la tristezza più della saggezza .	1
1278	Apprezzo gli sport , un tipo interessante di blues .	0
5061	Apprezzo il vino , ma non la coca cola .	1
5106	Apprezzo il rock , ma non gli sport .	1
2446	Si fida delle ricostruzioni , ed anche del tatto .	1
5071	Apprezzo lo Chardonnay , ma non la coca cola .	1
5376	Amo le balene , ma non i conigli .	1
4461	Amo le scuole più dei professori .	1
2236	Amo il salmone , ed anche il manzo .	1
1445	Amo i giochi da tavolo , un tipo interessante di documentario .	0
4670	Amo i guardiani , eccetto le fabbriche .	0
2194	Adoro il maiale , eccetto i broccoli .	0
993	Amo gli enduro , un tipo interessante di bicicletta .	0
2110	Apprezzo la sprite , ed anche il Chianti .	1
2940	Non amo i tavoli , preferisco i dipinti .	1
3260	Non amo gli animali domestici , preferisco le balene .	1
380	Amo le sciarpe , e più specificamente le collane .	0
1256	Apprezzo i giochi da tavolo , un tipo interessante di jazz .	0
5738	Amo le biciclette , e più specificamente gli enduro .	0
924	Amo i criceti , un tipo interessante di pappagallo .	0
4932	Adoro gli animali , ma non le betulle .	1
1593	Posso capire le emozioni , un tipo interessante di saggezza .	0
1149	Apprezzo i mobili , un tipo interessante di posate .	0
220	Apprezzo la musica , e più specificamente il blues .	1
3824	Apprezzo le sedie più delle posate .	1
2321	Amo i braccialetti , ed anche i gioielli .	0
4799	Amo le anatre , ma non gli uccelli .	0
4089	Amo il tacchino più delle ostriche .	1
2746	Non amo le Harley-Davidson , preferisco le moto .	0
3515	Non amo i fisici , preferisco gli impiegati .	1
5067	Apprezzo il vino , ma non la sprite .	1
1930	Amo i vestiti , ed anche le calze .	0
4918	Adoro gli animali , ma non le querce .	1
3083	Non amo il bacon , preferisco il maiale .	0
4843	Amo le Suzuki , ma non le moto .	0
2617	Ho incontrato i genetisti , ed anche i camerieri .	1
2818	Non amo le calze , preferisco i gioielli .	1
213	Apprezzo il cibo , e più specificamente la techno .	0
2951	Non amo i dipinti , preferisco i guardaroba .	1
1612	Posso capire la paura , un tipo interessante di calcolo .	0
445	Amo i criceti , e più specificamente gli orsi .	0
894	Amo i pappagalli , un tipo interessante di bobtail .	0
3989	Amo gli occhiali , eccetto i braccialetti .	0
1316	Adoro il maiale , un tipo interessante di prosciutto .	0
3086	Non amo i broccoli , preferisco il bacon .	1
3018	Non amo i giochi da tavolo , preferisco il rock .	1
5543	Amo i lavoratori , ma non i camerieri .	1
3795	Uso il vetro più del nylon .	1
2014	Uso il cuoio , ed anche il nylon .	1
2775	Non amo i treni , preferisco gli enduro .	1
186	Apprezzo il rock , e più specificamente il cibo .	0
1441	Amo i documentari , un tipo interessante di libro di testo .	0
2432	Adoro il pesce , eccetto il bacon .	0
2306	Amo i videogiochi , ed anche le commedie .	1
3348	Non ama la gioia , preferisce la stupidità .	1
2657	Non amo gli husky , preferisco i gatti .	1
5011	Apprezzo le posate , ma non le sedie .	1
1515	Amo gli animali domestici , un tipo interessante di cane .	0
2330	Amo i braccialetti , ed anche le scarpe .	1
4947	Adoro i cespugli , ma non gli abeti .	1
1794	Amo i bobtail , ed anche i conigli .	1
2091	Apprezzo la birra , ed anche il Merlot .	1
5440	Posso capire le emozioni , ma non la gioia .	1
1749	Ho incontrato gli impiegati , un tipo interessante di astronomo .	0
1865	Amo le biciclette , ed anche le Harley-Davidson .	1
4681	Amo le fabbriche , eccetto i professori .	0
891	Amo i bobtail , un tipo interessante di criceto .	0
1382	Adoro le ostriche , un tipo interessante di tacchino .	0
5438	Posso capire la saggezza , ma non la gioia .	1
4969	Uso la plastica , ma non il cotone .	1
4097	Amo il caviale più del vitello .	1
3145	Adoro il salmone , eccetto il pollo .	0
3237	Non amo gli anelli , preferisco le borsette .	1
4	Amo gli alberi , e più specificamente gli abeti .	1
1952	Amo le querce , ed anche gli animali .	1
2537	Amo i libri , ed anche i romanzi .	0
884	Amo i conigli , un tipo interessante di husky .	0
3533	Adoro il caviale , eccetto i prodotti del mare .	0
3295	Adoro i granchi , eccetto il vitello .	0
3772	Amo gli arbusti più dei pini .	1
5756	Amo le camicie , e più specificamente i vestiti .	0
5272	Amo i western , ma non i giochi da tavolo .	1
387	Amo gli orecchini , e più specificamente i gioielli .	0
2035	Apprezzo le sedie , ed anche le posate .	1
4954	Adoro i pini , ma non gli animali .	1
5240	Adoro il caviale , ma non il pollo .	1
3002	Non amo la coca cola , preferisco il Primitivo .	1
5023	Apprezzo il parquet , ma non le sedie .	1
535	Posso capire la paura , e più specificamente i calcoli .	0
65	Uso il legno , e più specificamente il PVC .	0
3747	Amo i film , eccetto i sussidiari .	0
4390	Amo i saggi più della musica .	1
