ID	Sentence	Labels
1481	J' aime les écharpes , un type intéressant de boucle d' oreille .	0
324	J' aime les thrillers , et plus particulièrement les jeux de société .	0
1661	J' aime les romans , un type intéressant de livre .	1
2518	J' aime les livres , et aussi les dessins animés .	1
2889	Je n' aime pas le polyester , je préfère le cuir .	1
3648	J' aime les Suzukis plus que les trains .	1
5748	J' aime les vélos , et plus particulièrement les Kawasakis .	0
4341	Je peux comprendre les émotions plus que la logique .	1
5753	J' aime les chemises , sauf les chaussures .	0
1700	J' aime les serveurs , un type intéressant d' école .	0
4016	J' aime les chaussures , sauf les colliers .	0
2922	Je n' aime pas les chaises , je préfère les couverts .	1
2092	J' apprécie le vin , et aussi la bière .	1
836	J' apprécie le Merlot , sauf la bière .	0
3474	Je n' aime pas les écoles , je préfère les professeurs .	1
2327	J' aime les bracelets , et aussi les lunettes .	1
4656	J' aime les greffiers , sauf les bureaux .	0
5066	J' apprécie la sprite , mais pas le Merlot .	1
2444	J' adore le porc , sauf le bacon .	1
2132	J' apprécie les aliments , et aussi le rock .	1
5771	J' aime les vêtements , sauf les chaussures .	0
4345	Je peux comprendre les émotions plus que les calculs .	1
3812	J' utilise le plastique plus que le PVC .	0
3271	Je n' aime pas les lapins , je préfère les giraffes .	1
700	J' ai rencontré les concierges , et plus particulièrement les physiciens .	0
2411	Il fait confiance à sa vision , et aussi les rumeurs .	1
1820	J' aime les oiseaux , et aussi les chats .	1
5437	Je peux comprendre la joie , mais pas la sagesse .	1
128	J' apprécie le Merlot , et plus particulièrement la sprite .	0
120	J' apprécie le coca cola , et plus particulièrement le Merlot .	0
2076	J' apprécie le papier peint , et aussi les lits .	1
1652	J' aime les essais , un type intéressant de cinéma .	0
5052	J' apprécie les peintures , mais pas les lits .	1
4561	Je peux comprendre la stupidité , sauf la joie .	0
5258	J' aime les manuels scolaires , mais pas les thrillers .	1
1452	J' aime les bracelets , un type intéressant de bijoux .	1
3117	Je n' aime pas les crabes , je préfère les produits de la mer .	0
652	J' ai rencontré les restaurants , et plus particulièrement les professeurs .	0
4420	J' aime les greffiers plus que les usines .	1
703	J' adore les sapins , sauf les arbres .	0
5436	Il fait confiance aux suppositions , mais pas son sens du goût .	1
419	J' aime les animaux de compagnie , et plus particulièrement les baleines .	0
